stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
1162,"SMNA01","Smolna",52.4235503300,16.9651920800,A
420,"KRES02","Kresowa",52.4686397100,16.9474248100,A
3598,"LUPKM03","Luboń/PKM",52.3445773155,16.8917446829,B
355,"SUCH02","Sucholeska",52.4623384300,16.8688846200,A
3097,"KNKOS01","Konarzewo/Kościelna",52.3349070000,16.7112930000,C
1219,"SOBI02","Sobiesława",52.4053544600,17.0227539200,A
3662,"WOPO05","Wojska Polskiego",52.4292337530,16.8971459512,A
742,"OSTR02","Ostroroga",52.4003292800,16.8818442500,A
3990,"SZYD02","Szydłowiecka",52.3584470000,16.9453820000,A
2960,"KOKSW03","Komorniki/Ks.Wawrzyniaka",52.3473430700,16.8053317900,B
487,"SERB01","Serbska",52.4324932200,16.9466084200,A
3603,"KJCH02","Konopackiej",52.3564360000,16.8415590000,A
3695,"SOSN03","Sośnicka",52.4061170000,17.0439620000,A
2151,"TUKRO02","Tulce/Krótka",52.3426690000,17.0762610000,B
3194,"SKGRA01","Skórzewo/Os. Grafitowe",52.3952950000,16.7629260000,B
4337,"LITA03","Literacka",52.4408552438,16.8709660337,A
494,"POLA03","Połabska",52.4361636300,16.9308478800,A
4359,"RBPOL02","Robakowo/Polna",52.3020166489,17.0623273582,B
1391,"STAR30","Starołęka PKM",52.3661320000,16.9301820000,A
2134,"BRLAK01","Borówiec/Łąkowa",52.2829330000,17.0451850000,B
2659,"DZLES01","Dziećmierowo/Leśna",52.2709152500,17.0980362200,C
601,"LUPO02","Łupowska",52.4352823800,16.8301995000,A
1177,"JANZ01","Janikowska ",52.4321270000,17.0027201500,A
41,"KMIE71","Kmieca",52.4263321700,16.9384827300,A
1815,"PWSZK02","Pawłowice/Pętla",52.4952270100,16.7968397700,B
2239,"POOSI01","Poklatki/Osiedle",52.3300611123,17.2034834521,B
1928,"WYWIE03","Wysogotowo/Wierzbowa",52.4137947000,16.7773217100,B
1827,"KCJON01","Kicin/Jonschera",52.4576270600,17.0168938300,B
1313,"DAPIO01","Daszewice/Piotrowska",52.2993912300,16.9580540800,B
2111,"TUOSP01","Tulce/Przylesie",52.3461490600,17.0621922600,B
1161,"CHEM02","Chemiczna",52.4272314800,16.9667300600,A
1828,"KCJON02","Kicin/Jonschera",52.4574087500,17.0166881500,B
3224,"PADWR01","Palędzie/Dworzec Kolejowy",52.3745110000,16.7442250000,C
1646,"PANZ02","Porzeczkowa",52.3623172300,17.0144106500,A
29,"SZYM42","Szymanowskiego",52.4603710300,16.9169382500,A
2121,"SCNWO02","Szczytniki/Nad Wodą",52.3018330000,17.0164020000,B
146,"LOMZ42","Łomżyńska",52.4096310300,16.9851960400,A
2344,"GROKR01","Gruszczyn/Okrężna",52.4397720000,17.0749180000,B
4352,"KDCEL01","Kórnik/Celichowskiego",52.2399434189,17.0996492360,C
953,"WIBRZ01","Wiry/Brzoskwiniowa",52.3296370124,16.8363890627,B
768,"SZAM01","Szamotulska",52.4046890900,16.8832369900,A
2407,"BOPAL01","Bolechowo/Pałac",52.5442364500,16.9905190200,C
4381,"TPMOD02","Tarnowo Pdg/Modrakowa",52.4758330000,16.6568830000,C
2109,"PRNA02","Przyjemna",52.3505610900,17.0412050800,A
3071,"LURZE01","Luboń/Rzeczna",52.3469947162,16.9015437050,B
1696,"ROSK41","Rondo Skubiszewskiego",52.3905040000,16.8545990000,A
2059,"LKADM01","Lusówko/Admiralska",52.4423930900,16.6340187400,C
1874,"RKLES02","Rokietnica/Leśna",52.5051000000,16.7364000000,B
3994,"SWWA01","Św. Wawrzyńca",52.4186898429,16.9026800374,A
4084,"WSKA01","Wieruszowska",52.3819690837,16.8443876620,A
2840,"BRZE03","Brzechwy",52.4074138036,16.8458929335,A
