route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,brigade
PKS,1,"1_765178^Y+","Żabinko/",1,93352,0,115
PKS,1,"1_765181^Y+","Żabinko/",1,93352,0,115
PKS,1,"1_765183^Y+","Żabinko/",1,93352,0,115
PKS,1,"1_765186^Y+","Żabinko/",1,93352,0,116
PKS,1,"1_765198^Y+","Żabinko/",1,93352,0,245
PKS,1,"1_765200^Y+","Żabinko/",1,93352,0,312
PKS,1,"1_765202^Y+","Żabinko/",1,93352,0,349
PKS,1,"1_765177^Y+","Poznań Główny",0,93353,0,115
PKS,1,"1_765182^Y+","Poznań Główny",0,93353,0,115
PKS,1,"1_765184^Y+","Poznań Główny",0,93353,0,115
PKS,1,"1_765185^Y+","Poznań Główny",0,93353,0,116
PKS,1,"1_765191^Y+","Poznań Główny",0,93353,0,207
PKS,1,"1_765199^Y+","Poznań Główny",0,93353,0,312
PKS,1,"1_765201^Y+","Poznań Główny",0,93353,0,349
PKS,1,"1_765180^Y","Żabinko/",1,93365,0,115
PKS,1,"1_765197^Y","Żabinko/",1,93365,0,230
PKS,1,"1_765206^Y","Żabinko/",1,93365,0,918
PKS,1,"1_765208^Y","Żabinko/",1,93365,0,918
PKS,1,"1_765189^A,Y","Radzewice/II",1,93366,0,158
PKS,1,"1_765190^A,Y","Radzewice/II",1,93366,0,158
PKS,1,"1_765193^A,Y","Radzewice/II",1,93367,0,218
PKS,1,"1_765195^A,Y","Radzewice/II",1,93367,0,219
PKS,1,"1_765179^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,115
PKS,1,"1_765196^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,230
PKS,1,"1_765205^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,918
PKS,1,"1_765207^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,918
PKS,1,"1_765187^Y","Poznań Główny",0,93369,0,158
PKS,1,"1_765188^Y","Poznań Główny",0,93369,0,158
PKS,1,"1_765192^Y","Poznań Główny",0,93370,0,218
PKS,1,"1_765194^Y","Poznań Główny",0,93370,0,219
PKS,1,"1_765203^B,Y","Dymaczewo Nowe/",0,93371,0,402
PKS,1,"1_765204^B,Y","Dymaczewo Nowe/",0,93371,0,402
PKS,3,"3_765235^Y+","Żabinko/",1,93352,0,115
PKS,5,"5_765349^Y+","Żabinko/",1,93352,0,115
PKS,5,"5_765352^Y+","Żabinko/",1,93352,0,115
PKS,5,"5_765354^Y+","Żabinko/",1,93352,0,115
PKS,5,"5_765357^Y+","Żabinko/",1,93352,0,116
PKS,5,"5_765369^Y+","Żabinko/",1,93352,0,245
PKS,5,"5_765371^Y+","Żabinko/",1,93352,0,312
PKS,5,"5_765373^Y+","Żabinko/",1,93352,0,349
PKS,5,"5_765348^Y+","Poznań Główny",0,93353,0,115
PKS,5,"5_765353^Y+","Poznań Główny",0,93353,0,115
PKS,5,"5_765355^Y+","Poznań Główny",0,93353,0,115
PKS,5,"5_765356^Y+","Poznań Główny",0,93353,0,116
PKS,5,"5_765362^Y+","Poznań Główny",0,93353,0,207
PKS,5,"5_765370^Y+","Poznań Główny",0,93353,0,312
PKS,5,"5_765372^Y+","Poznań Główny",0,93353,0,349
PKS,5,"5_765351^Y","Żabinko/",1,93365,0,115
PKS,5,"5_765368^Y","Żabinko/",1,93365,0,230
PKS,5,"5_765377^Y","Żabinko/",1,93365,0,918
PKS,5,"5_765379^Y","Żabinko/",1,93365,0,918
PKS,5,"5_765360^A,Y","Radzewice/II",1,93366,0,158
PKS,5,"5_765361^A,Y","Radzewice/II",1,93366,0,158
PKS,5,"5_765364^A,Y","Radzewice/II",1,93367,0,218
PKS,5,"5_765366^A,Y","Radzewice/II",1,93367,0,219
PKS,5,"5_765350^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,115
PKS,5,"5_765367^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,230
PKS,5,"5_765376^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,918
PKS,5,"5_765378^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,918
PKS,5,"5_765358^Y","Poznań Główny",0,93369,0,158
PKS,5,"5_765359^Y","Poznań Główny",0,93369,0,158
PKS,5,"5_765363^Y","Poznań Główny",0,93370,0,218
PKS,5,"5_765365^Y","Poznań Główny",0,93370,0,219
PKS,5,"5_765374^B,Y","Dymaczewo Nowe/",0,93371,0,402
PKS,5,"5_765375^B,Y","Dymaczewo Nowe/",0,93371,0,402
PKS,7,"7_765475^Y+","Żabinko/",1,93352,0,115
PKS,7,"7_765478^Y+","Żabinko/",1,93352,0,115
PKS,7,"7_765480^Y+","Żabinko/",1,93352,0,115
PKS,7,"7_765483^Y+","Żabinko/",1,93352,0,116
PKS,7,"7_765495^Y+","Żabinko/",1,93352,0,245
PKS,7,"7_765497^Y+","Żabinko/",1,93352,0,312
PKS,7,"7_765499^Y+","Żabinko/",1,93352,0,349
PKS,7,"7_765474^Y+","Poznań Główny",0,93353,0,115
PKS,7,"7_765479^Y+","Poznań Główny",0,93353,0,115
PKS,7,"7_765481^Y+","Poznań Główny",0,93353,0,115
PKS,7,"7_765482^Y+","Poznań Główny",0,93353,0,116
PKS,7,"7_765488^Y+","Poznań Główny",0,93353,0,207
PKS,7,"7_765496^Y+","Poznań Główny",0,93353,0,312
PKS,7,"7_765498^Y+","Poznań Główny",0,93353,0,349
PKS,7,"7_765477^Y","Żabinko/",1,93365,0,115
PKS,7,"7_765494^Y","Żabinko/",1,93365,0,230
PKS,7,"7_765503^Y","Żabinko/",1,93365,0,918
PKS,7,"7_765505^Y","Żabinko/",1,93365,0,918
PKS,7,"7_765486^A,Y","Radzewice/II",1,93366,0,158
PKS,7,"7_765487^A,Y","Radzewice/II",1,93366,0,158
PKS,7,"7_765490^A,Y","Radzewice/II",1,93367,0,218
PKS,7,"7_765492^A,Y","Radzewice/II",1,93367,0,219
PKS,7,"7_765476^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,115
PKS,7,"7_765493^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,230
PKS,7,"7_765502^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,918
PKS,7,"7_765504^A,Y","Mosina/Dworzec Kolejowy",0,93368,0,918
PKS,7,"7_765484^Y","Poznań Główny",0,93369,0,158
PKS,7,"7_765485^Y","Poznań Główny",0,93369,0,158
PKS,7,"7_765489^Y","Poznań Główny",0,93370,0,218
PKS,7,"7_765491^Y","Poznań Główny",0,93370,0,219
PKS,7,"7_765500^B,Y","Dymaczewo Nowe/",0,93371,0,402
PKS,7,"7_765501^B,Y","Dymaczewo Nowe/",0,93371,0,402
T7,1,"1_869243^+","Małe Garbary",1,103216,0,1
T7,1,"1_869245^+","Małe Garbary",1,103216,0,1
T7,1,"1_869247^+","Małe Garbary",1,103216,0,1
T7,1,"1_869249^+","Małe Garbary",1,103216,0,1
T7,1,"1_869251^+","Małe Garbary",1,103216,0,1
T7,1,"1_869253^+","Małe Garbary",1,103216,0,1
T7,1,"1_869255^+","Małe Garbary",1,103216,0,1
T7,1,"1_869257^+","Małe Garbary",1,103216,0,1
T7,1,"1_869259^+","Małe Garbary",1,103216,0,1
T7,1,"1_869261^+","Małe Garbary",1,103216,0,1
T7,1,"1_869263^+","Małe Garbary",1,103216,0,1
T7,1,"1_869265^+","Małe Garbary",1,103216,0,1
T7,1,"1_869267^+","Małe Garbary",1,103216,0,1
T7,1,"1_869269^+","Małe Garbary",1,103216,0,1
T7,1,"1_869271^+","Małe Garbary",1,103216,0,1
T7,1,"1_869273^+","Małe Garbary",1,103216,0,1
T7,1,"1_869275^+","Małe Garbary",1,103216,0,1
T7,1,"1_869277^+","Małe Garbary",1,103216,0,1
T7,1,"1_869279^+","Małe Garbary",1,103216,0,1
T7,1,"1_869281^+","Małe Garbary",1,103216,0,1
T7,1,"1_869283^+","Małe Garbary",1,103216,0,1
T7,1,"1_869285^+","Małe Garbary",1,103216,0,1
T7,1,"1_869287^+","Małe Garbary",1,103216,0,1
T7,1,"1_869289^+","Małe Garbary",1,103216,0,1
T7,1,"1_869291^+","Małe Garbary",1,103216,0,1
T7,1,"1_869293^+","Małe Garbary",1,103216,0,1
T7,1,"1_869295^+","Małe Garbary",1,103216,0,1
T7,1,"1_869297^+","Małe Garbary",1,103216,0,1
T7,1,"1_869299^+","Małe Garbary",1,103216,0,1
T7,1,"1_869301^+","Małe Garbary",1,103216,0,1
T7,1,"1_869303^+","Małe Garbary",1,103216,0,1
T7,1,"1_869305^+","Małe Garbary",1,103216,0,1
T7,1,"1_869307^+","Małe Garbary",1,103216,0,1
T7,1,"1_869309^+","Małe Garbary",1,103216,0,1
T7,1,"1_869311^+","Małe Garbary",1,103216,0,1
T7,1,"1_869313^+","Małe Garbary",1,103216,0,1
T7,1,"1_869315^+","Małe Garbary",1,103216,0,1
T7,1,"1_869317^+","Małe Garbary",1,103216,0,1
T7,1,"1_869319^+","Małe Garbary",1,103216,0,1
T7,1,"1_869321^+","Małe Garbary",1,103216,0,1
T7,1,"1_869323^+","Małe Garbary",1,103216,0,1
T7,1,"1_869325^+","Małe Garbary",1,103216,0,1
T7,1,"1_869331^+","Małe Garbary",1,103216,0,2
T7,1,"1_869333^+","Małe Garbary",1,103216,0,2
T7,1,"1_869335^+","Małe Garbary",1,103216,0,2
T7,1,"1_869337^+","Małe Garbary",1,103216,0,2
T7,1,"1_869339^+","Małe Garbary",1,103216,0,2
T7,1,"1_869341^+","Małe Garbary",1,103216,0,2
T7,1,"1_869343^+","Małe Garbary",1,103216,0,2
T7,1,"1_869345^+","Małe Garbary",1,103216,0,2
T7,1,"1_869347^+","Małe Garbary",1,103216,0,2
T7,1,"1_869349^+","Małe Garbary",1,103216,0,2
T7,1,"1_869351^+","Małe Garbary",1,103216,0,2
T7,1,"1_869353^+","Małe Garbary",1,103216,0,2
T7,1,"1_869355^+","Małe Garbary",1,103216,0,2
T7,1,"1_869357^+","Małe Garbary",1,103216,0,2
T7,1,"1_869359^+","Małe Garbary",1,103216,0,2
T7,1,"1_869361^+","Małe Garbary",1,103216,0,2
T7,1,"1_869363^+","Małe Garbary",1,103216,0,2
T7,1,"1_869365^+","Małe Garbary",1,103216,0,2
T7,1,"1_869367^+","Małe Garbary",1,103216,0,2
